timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 21:24:00,14.0,17.0,7.0,8.0,6.0,16.0,5.0,5.0,3.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,9.0,2.0,11.0,9.0,12.0,8.0,9.0,2.0,4.0,8.0,2.0,0.0,0.0,15.0,22.0,2.0,2.0,0.0,0.0,12.0,1.0,12.0,10.0,6.0,5.0,19.0,6.0,7.0,8.0,1.0,17.0,13.0,12.0,16.0,15.0,7.0,10.0,6.0,3.0,5.0,8.0,8.0,0.0,18.0,15.0,2.0,0.0,1.0,2.0,8.0,1.0,9.0,14.0,10.0,12.0,4.0,7.0,2.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,4.0,9.0
2022-08-04 22:19:00,11.0,11.0,0.0,0.0,0.0,13.0,6.0,2.0,2.0,1.0,8.0,0.0,2.0,0.0,12.0,2.0,8.0,2.0,13.0,13.0,14.0,7.0,4.0,4.0,7.0,14.0,0.0,2.0,9.0,17.0,24.0,2.0,3.0,0.0,0.0,11.0,3.0,12.0,10.0,6.0,11.0,18.0,7.0,11.0,10.0,5.0,18.0,15.0,13.0,19.0,15.0,7.0,9.0,3.0,9.0,7.0,7.0,3.0,2.0,13.0,14.0,1.0,0.0,0.0,3.0,11.0,1.0,9.0,14.0,10.0,12.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,3.0,9.0
2022-08-08 02:58:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,19.0,4.0,2.0,18.0,14.0,18.0,8.0,18.0,10.0,0.0,15.0,16.0,19.0,12.0,5.0,11.0,4.0,3.0,0.0,7.0,6.0,14.0,7.0,2.0,7.0,15.0,8.0,3.0,1.0,18.0,4.0,19.0,3.0,15.0,1.0,16.0,4.0,6.0,0.0,16.0,16.0,2.0,18.0,11.0,4.0,4.0,6.0,5.0,2.0,2.0,16.0,19.0,11.0,16.0,1.0,9.0,9.0,13.0,5.0,8.0,17.0,6.0,6.0,2.0,9.0,0.0
2022-08-08 03:53:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,20.0,3.0,2.0,20.0,14.0,18.0,8.0,17.0,9.0,0.0,15.0,16.0,18.0,12.0,4.0,11.0,4.0,3.0,0.0,8.0,6.0,14.0,7.0,2.0,7.0,15.0,7.0,2.0,1.0,17.0,4.0,18.0,3.0,15.0,1.0,16.0,4.0,6.0,0.0,16.0,16.0,2.0,19.0,11.0,4.0,5.0,6.0,5.0,2.0,2.0,16.0,20.0,11.0,16.0,1.0,9.0,10.0,13.0,5.0,8.0,19.0,6.0,6.0,2.0,9.0,0.0
2022-08-11 19:13:00,2.0,2.0,4.0,18.0,20.0,6.0,2.0,0.0,2.0,6.0,5.0,2.0,2.0,0.0,8.0,5.0,1.0,12.0,8.0,9.0,3.0,12.0,5.0,1.0,8.0,5.0,0.0,5.0,2.0,11.0,7.0,4.0,3.0,0.0,12.0,3.0,6.0,10.0,8.0,1.0,13.0,6.0,16.0,6.0,9.0,8.0,17.0,9.0,4.0,8.0,13.0,0.0,1.0,4.0,1.0,4.0,6.0,6.0,0.0,2.0,12.0,11.0,0.0,3.0,11.0,3.0,1.0,6.0,9.0,6.0,8.0,0.0,2.0,4.0,13.0,1.0,1.0,9.0,5.0,0.0,1.0,1.0,2.0
2022-08-11 20:08:00,4.0,4.0,3.0,16.0,19.0,7.0,3.0,3.0,1.0,2.0,1.0,0.0,7.0,3.0,6.0,0.0,7.0,12.0,4.0,9.0,1.0,12.0,2.0,0.0,6.0,9.0,1.0,0.0,0.0,14.0,11.0,4.0,5.0,0.0,5.0,2.0,4.0,11.0,8.0,5.0,9.0,7.0,17.0,5.0,7.0,9.0,17.0,8.0,6.0,7.0,12.0,2.0,6.0,2.0,0.0,9.0,7.0,4.0,4.0,3.0,10.0,2.0,1.0,3.0,10.0,8.0,1.0,7.0,10.0,6.0,8.0,1.0,3.0,14.0,12.0,1.0,1.0,7.0,7.0,1.0,7.0,2.0,5.0
2022-08-16 05:10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,5.0,1.0,0.0,14.0,0.0,1.0,12.0,6.0,5.0,9.0,13.0,4.0,9.0,6.0,13.0,18.0,17.0,6.0,2.0,11.0,0.0,3.0,10.0,11.0,6.0,8.0,16.0,9.0,17.0,2.0,9.0,2.0,3.0,9.0,9.0,11.0,4.0,0.0,7.0,9.0,12.0,13.0,4.0,11.0,5.0,19.0,7.0,10.0,7.0,2.0,7.0,20.0,4.0,3.0,14.0,8.0,8.0,6.0,11.0,16.0,11.0,8.0,12.0,20.0,2.0,14.0,2.0,4.0,6.0
2022-08-16 06:06:00,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,4.0,1.0,4.0,2.0,0.0,12.0,0.0,2.0,11.0,6.0,5.0,10.0,14.0,4.0,9.0,6.0,10.0,16.0,17.0,5.0,1.0,11.0,0.0,2.0,10.0,11.0,6.0,8.0,15.0,9.0,17.0,1.0,8.0,2.0,0.0,8.0,10.0,10.0,3.0,0.0,7.0,10.0,12.0,15.0,4.0,11.0,5.0,18.0,7.0,10.0,7.0,2.0,6.0,20.0,4.0,3.0,14.0,8.0,8.0,6.0,9.0,15.0,10.0,8.0,13.0,19.0,1.0,13.0,2.0,6.0,6.0
2022-08-18 15:29:00,17.0,5.0,7.0,15.0,4.0,5.0,18.0,20.0,25.0,5.0,15.0,2.0,4.0,1.0,8.0,6.0,3.0,5.0,6.0,2.0,10.0,10.0,11.0,0.0,3.0,12.0,8.0,5.0,2.0,12.0,3.0,5.0,3.0,3.0,7.0,9.0,4.0,2.0,10.0,1.0,7.0,3.0,6.0,6.0,9.0,5.0,7.0,12.0,13.0,15.0,3.0,0.0,4.0,6.0,3.0,7.0,7.0,9.0,0.0,5.0,3.0,5.0,7.0,12.0,2.0,4.0,10.0,8.0,12.0,8.0,14.0,5.0,10.0,9.0,8.0,10.0,0.0,9.0,7.0,2.0,5.0,1.0,4.0
2022-08-18 16:25:00,1.0,0.0,2.0,0.0,6.0,7.0,11.0,2.0,22.0,5.0,7.0,0.0,2.0,1.0,12.0,1.0,6.0,1.0,2.0,7.0,15.0,10.0,6.0,0.0,8.0,13.0,0.0,8.0,0.0,11.0,3.0,4.0,0.0,3.0,3.0,8.0,2.0,3.0,9.0,0.0,9.0,2.0,6.0,11.0,7.0,7.0,9.0,11.0,17.0,16.0,2.0,1.0,4.0,3.0,3.0,4.0,8.0,11.0,0.0,7.0,4.0,3.0,5.0,12.0,4.0,3.0,12.0,8.0,13.0,8.0,13.0,5.0,10.0,9.0,8.0,7.0,0.0,10.0,7.0,2.0,0.0,3.0,4.0
